
27-05-2020 22:36:21 | INFO     | Use Control-C to exit
27-05-2020 22:36:21 | INFO     | Your Computer IP Address is: 172.17.0.3
27-05-2020 22:36:21 | INFO     | Adding Unix User
27-05-2020 22:36:21 | WARNING  | Done Adding Unix User
27-05-2020 22:36:21 | INFO     | Connecting To Database
27-05-2020 22:36:21 | WARNING  | Done Connecting To Database
27-05-2020 22:36:21 | INFO     | Checking If Database Exist
27-05-2020 22:36:21 | WARNING  | Database Not Exist
27-05-2020 22:36:21 | INFO     | Adding Database
27-05-2020 22:36:21 | WARNING  | Done Adding Database
27-05-2020 22:36:21 | INFO     | Connecting To Database
27-05-2020 22:36:21 | WARNING  | Done Connecting To Database
27-05-2020 22:36:21 | INFO     | Checking If User Exist
27-05-2020 22:36:21 | WARNING  | Done Checking If User Exist
27-05-2020 22:36:21 | INFO     | User Already Exist
27-05-2020 22:36:21 | WARNING  | Updating User Password
27-05-2020 22:36:21 | WARNING  | Not Updating User Password
27-05-2020 22:36:21 | INFO     | Connecting To Database
27-05-2020 22:36:21 | WARNING  | Done Connecting To Database
27-05-2020 22:36:21 | INFO     | Granting User
27-05-2020 22:36:21 | WARNING  | Done Granting User
27-05-2020 22:36:21 | INFO     | Flushing Privileges
27-05-2020 22:36:21 | WARNING  | Done Flushing Privileges
27-05-2020 22:36:21 | INFO     | Deleting Unix User
27-05-2020 22:36:21 | WARNING  | Done Deleting Unix User
27-05-2020 22:36:21 | INFO     | Connecting To Database
27-05-2020 22:36:21 | WARNING  | Done Connecting To Database
27-05-2020 22:36:21 | INFO     | Checking If Database Exist
27-05-2020 22:36:21 | WARNING  | Database Exist
27-05-2020 22:36:21 | INFO     | Deleting Database
27-05-2020 22:36:21 | WARNING  | Done Deleting Database
27-05-2020 22:36:21 | INFO     | Connecting To Database
27-05-2020 22:36:21 | WARNING  | Done Connecting To Database
27-05-2020 22:36:21 | INFO     | Checking If User Exist
27-05-2020 22:36:21 | WARNING  | Done Checking If User Exist
27-05-2020 22:36:21 | INFO     | User Already Exist
27-05-2020 22:36:21 | INFO     | Deleting User
27-05-2020 22:36:21 | WARNING  | Done Deleting User
27-05-2020 22:37:21 | INFO     | Adding Unix User
27-05-2020 22:37:21 | WARNING  | Done Adding Unix User
27-05-2020 22:37:21 | INFO     | Connecting To Database
27-05-2020 22:37:21 | WARNING  | Done Connecting To Database
27-05-2020 22:37:21 | INFO     | Checking If Database Exist
27-05-2020 22:37:21 | WARNING  | Database Not Exist
27-05-2020 22:37:21 | INFO     | Adding Database
27-05-2020 22:37:21 | WARNING  | Done Adding Database
27-05-2020 22:37:21 | INFO     | Connecting To Database
27-05-2020 22:37:21 | WARNING  | Done Connecting To Database
27-05-2020 22:37:21 | INFO     | Checking If User Exist
27-05-2020 22:37:21 | WARNING  | Done Checking If User Exist
27-05-2020 22:37:21 | INFO     | User Not Exist
27-05-2020 22:37:21 | WARNING  | Adding User
27-05-2020 22:37:21 | WARNING  | Done Adding User
27-05-2020 22:37:21 | INFO     | Connecting To Database
27-05-2020 22:37:21 | WARNING  | Done Connecting To Database
27-05-2020 22:37:21 | INFO     | Granting User
27-05-2020 22:37:21 | WARNING  | Done Granting User
27-05-2020 22:37:21 | INFO     | Flushing Privileges
27-05-2020 22:37:21 | WARNING  | Done Flushing Privileges
27-05-2020 22:37:21 | INFO     | Deleting Unix User
27-05-2020 22:38:21 | WARNING  | Done Deleting Unix User
27-05-2020 22:38:21 | INFO     | Connecting To Database
27-05-2020 22:38:21 | WARNING  | Done Connecting To Database
27-05-2020 22:38:21 | INFO     | Checking If Database Exist
27-05-2020 22:38:21 | WARNING  | Database Exist
27-05-2020 22:38:21 | INFO     | Deleting Database
27-05-2020 22:38:21 | WARNING  | Done Deleting Database
27-05-2020 22:38:21 | INFO     | Connecting To Database
27-05-2020 22:38:21 | WARNING  | Done Connecting To Database
27-05-2020 22:38:21 | INFO     | Checking If User Exist
27-05-2020 22:38:21 | WARNING  | Done Checking If User Exist
27-05-2020 22:38:21 | INFO     | User Not Exist
27-05-2020 22:38:21 | WARNING  | Done Deleting User
